address,label,known,description,maker_fills,taker_fills,total_fills,maker_pct,maker_volume,taker_volume,total_volume
0x8648027882a7b78238f8aaf2506be73a5aa5bd2f,0x86480278,False,,1216,0,1216,100.0,13079.155072000001,0.0,13079.155072000001
0x1e0f76debce765536a8b0b900d589e22b472d6bf,0x1e0f76de,False,,1017,193,1210,84.04958677685951,9426.862518000002,1415.512228,10842.374746000001
0x267cc5ef0a6e0b854bb942df62bb7ab17f91e3fc,0x267cc5ef,False,,1194,0,1194,100.0,7416.466387,0.0,7416.466387
0x030c04d83a7c2c31aa0ea2356bf0a00f9a79537b,0x030c04d8,False,,951,237,1188,80.05050505050505,38048.829987,4569.300783000001,42618.130769999996
0xb9fc8078fd6c0275c631ec10fcf8d5cc52d6da76,0xb9fc8078,False,,1179,0,1179,100.0,7038.176149,0.0,7038.176149
0x71fa0acc436ecdc9c36d007060d559604a44da19,0x71fa0acc,False,,1103,73,1176,93.79251700680273,2240.1220009999997,147.115433,2387.2374339999997
0x85003d70d455be09bc86f52c3b9b1deded2a1b76,0x85003d70,False,,952,171,1123,84.77292965271594,5641.908028,938.7424800000001,6580.650508
0x5c2c8cf79f6f84bec7df40753f2c8fd5572379dc,0x5c2c8cf7,False,,1122,0,1122,100.0,5244.832802,0.0,5244.832802
0x10040fe248682c406c4777958d243d62846e9b8f,0x10040fe2,False,,969,151,1120,86.51785714285715,14649.951644,2070.822613,16720.774257
0x885278f0e304bc2d53f805af2ab779cb6011c569,0x885278f0,False,,1103,0,1103,100.0,4927.1374749999995,0.0,4927.1374749999995
0xdb6ad7e0cd9699f408b2ebe17fb3176be01e4fa3,0xdb6ad7e0,False,,906,196,1102,82.2141560798548,5933.970434,1617.7606919999998,7551.731126
0xe802fd717e60fce014b953c27f7e6f70b1814fe7,0xe802fd71,False,,789,306,1095,72.05479452054794,7238.3561150000005,1543.68525,8782.041365000001
0x09aedca3605e725655e314a29b28910e0ec555bc,0x09aedca3,False,,590,501,1091,54.07882676443629,14463.755303999998,6327.800486,20791.55579
0xdebda17c4ef1820b6480d02479bc92f81a928921,0xdebda17c,False,,163,923,1086,15.009208103130756,162.773306,880.135325,1042.908631
0x8434322a3e043536c2bc72460fa1e86e159d3d5b,0x8434322a,False,,894,186,1080,82.77777777777777,16838.062833,1785.055734,18623.118567
0x79d3f5e3b4d729f994ba221ae2bd3af28a5a6100,0x79d3f5e3,False,,865,197,1062,81.45009416195856,5869.868513,1662.841979,7532.710492
0x8cda50111fda99f0750df0de093e7e8659763d8a,0x8cda5011,False,,934,117,1051,88.86774500475737,2491.8657300000004,503.58297099999993,2995.4487010000003
0x42e5c9ea3fc481bccc83a1c65be03783d1432e6c,0x42e5c9ea,False,,940,102,1042,90.21113243761995,4179.040946,481.41718699999996,4660.458133
0x7edac759238b5ba2f3ab3196ea116ee338141876,0x7edac759,False,,948,92,1040,91.15384615384615,2863.6755279999998,682.4981370000002,3546.173665
0xb6108a4b6ef5894875d79ace589b38a462d6e6ae,0xb6108a4b,False,,1037,0,1037,100.0,4910.290255,0.0,4910.290255
0x2c0e683feac9b334b8cd15f4b0fbf34e37bd80f1,0x2c0e683f,False,,1037,0,1037,100.0,5148.574053,0.0,5148.574053
0x9ce4901185188780948d2d2fe8529e20c953bbfd,0x9ce49011,False,,863,163,1026,84.1130604288499,6400.385700000001,904.644008,7305.029708000001
0xae3db1cc155e1b2a5420e256c42cd1649b5a6b95,0xae3db1cc,False,,777,227,1004,77.39043824701196,8304.186115999999,2987.7403409999997,11291.926456999998
0x372e593fa57bed5525c41692d616be5555b54453,0x372e593f,False,,831,171,1002,82.93413173652695,7670.727223,1619.228177,9289.955399999999
0x8ac1eaed0399f8332f47041436312d6cd4b19595,0x8ac1eaed,False,,708,289,997,71.01303911735206,19837.620707,3774.414269,23612.034976
0x7fd764f8ae9dc07626a1cef8b0bc095d13b5f2db,0x7fd764f8,False,,767,223,990,77.47474747474747,7630.022231999999,1618.507263,9248.529494999999
0x537494c54dee9162534675712f2e625c9713042e,0x537494c5,False,,803,156,959,83.73305526590198,7204.541857,1005.5503640000001,8210.092221
0x390795c5347dc1f13a2008b6f0fc43fe78593e7d,0x390795c5,False,,820,128,948,86.49789029535864,4990.746375000001,685.477801,5676.224176000001
0x564735dad6be7134f551baed03769f2402cede1d,0x564735da,False,,863,75,938,92.0042643923241,3711.826015,657.562404,4369.388419
0x0f3fc537631103d303110741e5d4f4399e11278a,0x0f3fc537,False,,844,76,920,91.73913043478261,4502.471579,365.417786,4867.889365
0xb034d5eb172a7f47fbae8a554e04cfb5742cf0dc,0xb034d5eb,False,,920,0,920,100.0,12400.757312000002,0.0,12400.757312000002
0xebca5d11d9758c430825c648cb828bdcb579170e,0xebca5d11,False,,920,0,920,100.0,4801.061664,0.0,4801.061664
0x981472bb9e456f4da72beca2756afae15a00a510,0x981472bb,False,,715,193,908,78.74449339207048,29081.271162,2471.617633,31552.888795
0x6ce358d0b84de729997f4faa1ddee068e3c93bfd,0x6ce358d0,False,,302,598,900,33.55555555555556,751.4493130000001,283.49714700000004,1034.9464600000001
0x72c3e41b073b374c2270568178808807715568a9,0x72c3e41b,False,,808,91,899,89.87764182424917,8805.556024,885.114104,9690.670128
0x113d4c0b5a6702ab045ea2cba7c3f71d51fc3ce8,0x113d4c0b,False,,770,125,895,86.03351955307262,28888.601602000002,3113.967453,32002.569055000004
0x5487559b207c980f660774d06cd5ca144377a014,0x5487559b,False,,891,0,891,100.0,6197.641672,0.0,6197.641672
0xb6bcc1f64269cbf97ed3d54d72271a2a0efdfe8e,0xb6bcc1f6,False,,722,169,891,81.03254769921436,11423.321174,1586.3593930000002,13009.680567000001
0xf4fea8cf6030cbcd73502cde708e74ad21d8ebac,0xf4fea8cf,False,,702,165,867,80.96885813148789,29954.2027,2428.8384210000004,32383.041121000002
0xc71f8dfbbfabe8dbb8cefe5789651b6ea26cbd62,0xc71f8dfb,False,,723,143,866,83.48729792147806,5142.069272000001,914.857323,6056.926595000001
0x82680bbf5f9ed58b89e837a23ecd1f014f673638,0x82680bbf,False,,743,116,859,86.49592549476135,6884.443436,840.654629,7725.098064999999
0x2cd24c6ca454e7a805fff52105c71020bc5b6619,0x2cd24c6c,False,,783,68,851,92.00940070505288,2192.071826,330.34842899999995,2522.420255
0x437bfe05a1e169b1443f16e718525a88b6f283b2,0x437bfe05,False,,850,0,850,100.0,10720.904750000002,0.0,10720.904750000002
0xff9568c48f1ea7296a3c1f69a992b3d2127b131c,0xff9568c4,False,,766,71,837,91.51732377538829,3548.849166,300.91305900000003,3849.762225
0xd61508b9845502bd79842b2b7877811fa6a9ae32,0xd61508b9,False,,633,204,837,75.62724014336918,5259.134334,1508.9542299999998,6768.088564
0x4d0730b1c8b4da2444ab7a4a389a607584132b94,0x4d0730b1,False,,653,144,797,81.93224592220828,8900.868927,1106.564204,10007.433131
0x674b949283ea2eb33c2cad519a3e2f26b3144f07,0x674b9492,False,,499,294,793,62.92559899117276,25066.286254000002,4593.665021000001,29659.951275000003
0x88b48c727e7b3266e09e9157e7c5669cf2de05ba,0x88b48c72,False,,424,369,793,53.46784363177805,5969.874141,1170.315337,7140.189478
0x19ac5d5e9cb556cdd9622f86eaa172032061849a,0x19ac5d5e,False,,631,159,790,79.87341772151899,12742.800038000001,1715.407522,14458.20756
0x53c003bde0617df4aa49c674b1ebd4af92f4da59,0x53c003bd,False,,564,222,786,71.7557251908397,2767.026594,961.8345009999999,3728.8610949999998
0x2ce95b745c2d8a44d5cac28506439253d96cb8ca,0x2ce95b74,False,,595,189,784,75.89285714285714,42575.355789,3304.4246919999996,45879.780481
0xddf8c2b88e81f3a5e4bf168d81c1b1b4e8d48285,0xddf8c2b8,False,,780,0,780,100.0,6478.675616,0.0,6478.675616
0x5b87d38577b2811179b7aa8f2cddc65d7046b6bd,0x5b87d385,False,,779,0,779,100.0,7493.768166000001,0.0,7493.768166000001
0x0a740dd33db5c9cfe7a8c2ae4e2eee840e118468,0x0a740dd3,False,,660,118,778,84.83290488431876,8615.398475,944.968054,9560.366529
0x4b112245298e858636fa2f8d6231fb5ae0bbe293,0x4b112245,False,,609,148,757,80.44914134742405,2920.956395,702.6580879999999,3623.6144830000003
0xae94949d4778af469e631a92383fd2eac615af2c,0xae94949d,False,,581,166,747,77.77777777777779,8871.080291999999,1409.548949,10280.629240999999
0x94a6dc3eeb4ee2a2225e221ffe06a1acfd06a0c7,0x94a6dc3e,False,,745,0,745,100.0,37393.098453,0.0,37393.098453
0xe80ee05df7917d674612cc6ef616fcb1c8168f85,0xe80ee05d,False,,733,0,733,100.0,3523.8645979999997,0.0,3523.8645979999997
0xc48ef6e60386238a4eea07fc1658229c493ab243,0xc48ef6e6,False,,730,0,730,100.0,3371.245606,0.0,3371.245606
0x8a9da977604acb1898b1a47820859e9a4080001c,0x8a9da977,False,,642,81,723,88.79668049792531,4219.153563,532.980567,4752.1341299999995
0x3248cb1018e69a84bcd1885b70518f1ded4ba66a,0x3248cb10,False,,446,271,717,62.203626220362615,746.468243,406.925609,1153.3938520000002
0x7d4ed386d4c32a012739cfff96d0a8426eaeb700,0x7d4ed386,False,,627,85,712,88.06179775280899,4760.817193,736.747841,5497.565034
0xc8c5c085a72df48f278abbe3f47d38e895eb591c,0xc8c5c085,False,,614,97,711,86.35724331926863,6640.729515,1050.919342,7691.648857
0x5a41c5695731f2dcffd5253bad3b737c2aa1fe2d,0x5a41c569,False,,385,321,706,54.53257790368272,35567.257692,3588.254594,39155.512286
0xba264376d6fef08f23a44db4153d12d47f5f23c9,0xba264376,False,,512,193,705,72.62411347517731,127085.20622699999,11675.358719,138760.564946
0x485a8fb981cf3c4337af43ca27ddfdf61aa73e92,0x485a8fb9,False,,606,94,700,86.57142857142858,5595.169728,855.758859,6450.928587
0x75fd2822c730854652d741dea6651721f2369a86,0x75fd2822,False,,568,121,689,82.43831640058055,12779.079718,1236.930766,14016.010484
0xd5ddda952b2cc46a173920cf5aaa73451258af6d,0xd5ddda95,False,,587,102,689,85.19593613933236,3430.389495,550.434396,3980.823891
0x747abbf12e38ce77ae9ad50e6b234be4f45a766d,0x747abbf1,False,,361,327,688,52.470930232558146,56154.707283,9259.913461,65414.620744
0xadd3e55a20d3511af800d3ceab198dcfc629b30b,0xadd3e55a,False,,215,472,687,31.29548762736536,518.9011969999999,154.43755,673.3387469999999
0xc955aaf9d123cbf42b5419bd111eaa302fecadd0,0xc955aaf9,False,,352,329,681,51.68869309838473,410.75954600000006,118.30659,529.066136
0xf178222af08c15815d9ee6475924d4cd7a339323,0xf178222a,False,,580,98,678,85.54572271386431,5199.111239,865.0019010000001,6064.1131399999995
0x89207d195197abcfaef9fae99d5483fcdab14ca5,0x89207d19,False,,661,0,661,100.0,3668.540828,0.0,3668.540828
0x8302d621b24dfb6bf5b604e4ec100d4f8505f88a,0x8302d621,False,,386,267,653,59.11179173047473,56749.256543,5847.937389000001,62597.193932
0x19cd345dcd11a9f1aedb29fc45577d8d57a0af9a,0x19cd345d,False,,407,246,653,62.32771822358346,3667.836194,1953.0320619999998,5620.868256
0x722beb62befdc30beafac5abae62d4683a6db7db,0x722beb62,False,,561,88,649,86.4406779661017,10150.937856,1150.1181689999999,11301.056025
0xee0714438ffe7d387c572f8c7af9102bc83939c3,0xee071443,False,,648,0,648,100.0,3025.566078,0.0,3025.566078
0xee4398a6ba6bc68b3c283603d5b5690b7c5009a2,0xee4398a6,False,,389,252,641,60.68642745709828,925.071178,149.62057800000002,1074.6917560000002
0x18e7f49bf888e3d827f3f78f4f9afcb2ad8add73,0x18e7f49b,False,,333,307,640,52.03124999999999,346.041858,53.22401000000001,399.265868
0x155565766cd6ff8f779348d81d0598bbadf1322a,0x15556576,False,,559,78,637,87.75510204081633,4297.023941,735.7520539999999,5032.775995
0x82ee61b5345d2389dd33263660f762eef9a5111b,0x82ee61b5,False,,326,309,635,51.338582677165356,37152.260763,4993.909321,42146.170084
0xc48f07719911d027f7f581c321a4411106a987d8,0xc48f0771,False,,552,71,623,88.60353130016051,7771.077495,632.845641,8403.923136000001
0x66c62566753c2aac6814e77f067ef3f1400cb9f8,0x66c62566,False,,448,172,620,72.25806451612902,6690.166263,1774.0025419999997,8464.168805
0x377a4e9c69ca67c766f8d4e2e1b4699be1c84cc0,0x377a4e9c,False,,429,191,620,69.19354838709677,958.5135970000001,200.45373899999998,1158.9673360000002
0x7af30df005d3781df99a14ff196e792f5864caf2,0x7af30df0,False,,564,54,618,91.2621359223301,2951.65437,275.458088,3227.112458
0xeee528cadb50b0185ecfc88c8a9e041adc417bf8,0xeee528ca,False,,510,104,614,83.06188925081433,4864.285081,743.259628,5607.544709
0x478e2d8b81bfe76395d2fb073f945032ae42a576,0x478e2d8b,False,,507,106,613,82.70799347471451,5097.5843669999995,921.707507,6019.291874
